"","bull_threshold","bear_threshold","confirmation_period","ROI","NumberOfTrades"
"283",0.6,0.9,3,34.2935327056361,1
"284",0.65,0.9,3,34.2935327056361,1
"285",0.7,0.9,3,34.2935327056361,1
"286",0.75,0.9,3,34.2935327056361,1
"287",0.8,0.9,3,34.2935327056361,1
"288",0.85,0.9,3,34.2935327056361,1
"289",0.9,0.9,3,34.2935327056361,1
"290",0.95,0.9,3,30.2997065170106,1
"291",0.5,0.95,3,34.2935327056361,1
"292",0.55,0.95,3,34.2935327056361,1
"293",0.6,0.95,3,34.2935327056361,1
"294",0.65,0.95,3,34.2935327056361,1
"295",0.7,0.95,3,34.2935327056361,1
"296",0.75,0.95,3,34.2935327056361,1
"297",0.8,0.95,3,34.2935327056361,1
"298",0.85,0.95,3,34.2935327056361,1
"299",0.9,0.95,3,34.2935327056361,1
"300",0.95,0.95,3,30.2997065170106,1
