"","mean","MCSE","q10","q50","q90","ESS","Rhat"
"loglike[1,151]",2.2483303604513,0.0572395156974473,2.1258227956298,2.25156592081262,2.35076765414389,13736.1969507086,1.00003417475349
"loglike[1,152]",2.44843910393254,0.0594132655313412,2.32059412231825,2.45264322723691,2.55398188037524,13606.2416107309,1.00067019739237
"loglike[1,153]",2.50232388742782,0.0654382893183057,2.36122310801769,2.5071329223403,2.61838863513805,12115.8407037181,1.0006101562185
"loglike[1,154]",1.63251094456839,0.0854182021869207,1.45759134027771,1.63529124659373,1.79421489173189,23985.7719036805,1.00024352700829
"loglike[1,155]",2.10730797321706,0.0528759938592322,1.99957248140285,2.10899349502161,2.20759877697024,24136.0878011391,1.00007036378173
"loglike[1,156]",2.49668386326063,0.0644151805427051,2.35875002476299,2.50124952582873,2.61108001102581,12377.899576029,1.00063559413967
"loglike[1,157]",2.21417135505226,0.0567309614682516,2.09334091976451,2.21690371440332,2.31642619210293,14410.7451521885,0.999988121310424
"loglike[1,158]",2.31655300283962,0.0589969649726416,2.19012613069062,2.32057686787527,2.42260396031786,12662.0629334521,1.00014598079071
"loglike[1,159]",2.50208009992071,0.0660573572036643,2.36009975307057,2.50729229987956,2.61952206212823,11909.3473955278,1.00057765815895
"loglike[1,160]",2.43319965688505,0.0637402875404408,2.29542296607279,2.43800262948608,2.54641293640536,11706.6415191139,1.00037544232936
"loglike[1,161]",2.50288348193738,0.0658978228346556,2.36120176325773,2.50789726556086,2.61981970809813,11973.4371567548,1.00058952720216
"loglike[1,162]",1.49951932347648,0.11146239425954,1.27198135984874,1.50245480095639,1.71074682695766,15232.9612962012,1.00003674188407
"loglike[1,163]",2.30993644064629,0.0587866832150909,2.18376631574187,2.31382298402458,2.41544316837431,12750.4526493565,1.00013422113401
"loglike[1,164]",2.45550983139823,0.0600324628943012,2.3259898705408,2.45994691325134,2.5622289022391,13433.039912626,1.00067025048418
"loglike[1,165]",2.47236295409764,0.0654779112655849,2.33118088662598,2.47721190414589,2.5879311443899,11650.8946509028,1.00046703357825
